id,scholarship_name,chunk_type,text,tokens
driven_at_heart_scholarship__field_of_study,Driven at Heart Scholarship,field:Field of Study,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Field of Study: athletics",19
driven_at_heart_scholarship__min_grade_gpa,Driven at Heart Scholarship,field:Min Grade/GPA,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Min Grade/GPA: Wisconsin high school seniors who participated in a WIAA-sanctioned sport, with a minimum 3.5 GPA.",32
driven_at_heart_scholarship__deadline,Driven at Heart Scholarship,field:Deadline,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Deadline: February 28, 2026",19
driven_at_heart_scholarship__amount,Driven at Heart Scholarship,field:Amount,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Amount: $2,500 - $7,500",19
driven_at_heart_scholarship__description,Driven at Heart Scholarship,field:Description,"Scholarship: Driven at Heart Scholarship
Provider: Wisconsin Athletic Hall of Fame
Level: high_school
Field: athletics

Awards top finalists a VIP experience at the Wisconsin Athletic Hall of Fame Induction Ceremony alongside cash scholarships.",33
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__summary,Penguin Random House Creative Writing Awards (with We Need Diverse Books),summary,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
A long-running program recognizing outstanding creative writing from public high school seniors, paired with mentorship from professional editors.
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing",43
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__provider_sponsor,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Provider/Sponsor,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Provider/Sponsor: Penguin Random House / We Need Diverse Books",34
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__level,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Level,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Level: high_school",27
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__field_of_study,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Field of Study,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Field of Study: writing",29
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__min_grade_gpa,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Min Grade/GPA,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Min Grade/GPA: Current public high school seniors in the US graduating in spring, planning to enroll in an accredited college that fall. Requires one original literary submission (poetry, spoken word, fiction, personal essay/memoir, or themed prompt).",61
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__deadline,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Deadline,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Deadline: Varies by cycle",29
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__amount,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Amount,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

Amount: NULL",27
penguin_random_house_creative_writing_awards_with_we_need_diverse_books__description,Penguin Random House Creative Writing Awards (with We Need Diverse Books),field:Description,"Scholarship: Penguin Random House Creative Writing Awards (with We Need Diverse Books)
Provider: Penguin Random House / We Need Diverse Books
Level: high_school
Field: writing

A long-running program recognizing outstanding creative writing from public high school seniors, paired with mentorship from professional editors.",43
lockheed_martin_stem_scholarship__summary,Lockheed Martin STEM Scholarship,summary,"Scholarship: Lockheed Martin STEM Scholarship
A STEM-focused scholarship aimed at broadening participation in technology careers among historically underrepresented groups.
Level: high_school
Field: computer_science",23
lockheed_martin_stem_scholarship__level,Lockheed Martin STEM Scholarship,field:Level,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

Level: high_school",11
lockheed_martin_stem_scholarship__field_of_study,Lockheed Martin STEM Scholarship,field:Field of Study,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

Field of Study: computer_science",13
lockheed_martin_stem_scholarship__min_grade_gpa,Lockheed Martin STEM Scholarship,field:Min Grade/GPA,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

Min Grade/GPA: N/A",12
lockheed_martin_stem_scholarship__deadline,Lockheed Martin STEM Scholarship,field:Deadline,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

Deadline: ROLLING",11
lockheed_martin_stem_scholarship__amount,Lockheed Martin STEM Scholarship,field:Amount,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

Amount: Varies",11
lockheed_martin_stem_scholarship__description,Lockheed Martin STEM Scholarship,field:Description,"Scholarship: Lockheed Martin STEM Scholarship
Level: high_school
Field: computer_science

A STEM-focused scholarship aimed at broadening participation in technology careers among historically underrepresented groups.",23
chinua_achebe_award_for_freedom_of_expression__summary,Chinua Achebe Award for Freedom of Expression,summary,"Scholarship: Chinua Achebe Award for Freedom of Expression
A newer award honoring literary freedom of expression, inviting students to reflect on the impact of banned books through original writing.
Provider: Penguin Random House
Level: high_school
Field: writing",37
chinua_achebe_award_for_freedom_of_expression__provider_sponsor,Chinua Achebe Award for Freedom of Expression,field:Provider/Sponsor,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Provider/Sponsor: Penguin Random House",20
chinua_achebe_award_for_freedom_of_expression__level,Chinua Achebe Award for Freedom of Expression,field:Level,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Level: high_school",18
chinua_achebe_award_for_freedom_of_expression__field_of_study,Chinua Achebe Award for Freedom of Expression,field:Field of Study,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Field of Study: writing",20
chinua_achebe_award_for_freedom_of_expression__min_grade_gpa,Chinua Achebe Award for Freedom of Expression,field:Min Grade/GPA,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Min Grade/GPA: Open to public high school students. Requires an original literary composition responding to a prompt about a banned book that impacted the applicant.",41
chinua_achebe_award_for_freedom_of_expression__deadline,Chinua Achebe Award for Freedom of Expression,field:Deadline,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Deadline: See website",19
chinua_achebe_award_for_freedom_of_expression__amount,Chinua Achebe Award for Freedom of Expression,field:Amount,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

Amount: $10,000 (first place)",20
chinua_achebe_award_for_freedom_of_expression__description,Chinua Achebe Award for Freedom of Expression,field:Description,"Scholarship: Chinua Achebe Award for Freedom of Expression
Provider: Penguin Random House
Level: high_school
Field: writing

A newer award honoring literary freedom of expression, inviting students to reflect on the impact of banned books through original writing.",37
cavaliers_scholarship_program__summary,Cavaliers Scholarship Program,summary,"Scholarship: Cavaliers Scholarship Program
A regional scholarship program from an NBA franchise supporting local graduating seniors.
Level: high_school
Field: athletics",20
cavaliers_scholarship_program__level,Cavaliers Scholarship Program,field:Level,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

Level: high_school",10
cavaliers_scholarship_program__field_of_study,Cavaliers Scholarship Program,field:Field of Study,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

Field of Study: athletics",12
cavaliers_scholarship_program__min_grade_gpa,Cavaliers Scholarship Program,field:Min Grade/GPA,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

Min Grade/GPA: High school seniors residing in Northeast Ohio.",17
cavaliers_scholarship_program__deadline,Cavaliers Scholarship Program,field:Deadline,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

Deadline: See website",11
cavaliers_scholarship_program__amount,Cavaliers Scholarship Program,field:Amount,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

Amount: TBC",10
cavaliers_scholarship_program__description,Cavaliers Scholarship Program,field:Description,"Scholarship: Cavaliers Scholarship Program
Level: high_school
Field: athletics

A regional scholarship program from an NBA franchise supporting local graduating seniors.",20
ncaa_postgraduate_scholarship__summary,NCAA Postgraduate Scholarship,summary,"Scholarship: NCAA Postgraduate Scholarship
Recognizes graduating student-athletes for combined academic and athletic excellence, supporting their transition into graduate study.
Provider: NCAA
Level: postgraduate
Field: athletics",25
ncaa_postgraduate_scholarship__provider_sponsor,NCAA Postgraduate Scholarship,field:Provider/Sponsor,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Provider/Sponsor: NCAA",12
ncaa_postgraduate_scholarship__level,NCAA Postgraduate Scholarship,field:Level,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Level: postgraduate",12
ncaa_postgraduate_scholarship__field_of_study,NCAA Postgraduate Scholarship,field:Field of Study,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Field of Study: athletics",14
ncaa_postgraduate_scholarship__min_grade_gpa,NCAA Postgraduate Scholarship,field:Min Grade/GPA,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Min Grade/GPA: Student-athletes across all three NCAA divisions who have completed their final season of athletic eligibility and demonstrate strong academics, athletic achievement, and leadership.",35
ncaa_postgraduate_scholarship__deadline,NCAA Postgraduate Scholarship,field:Deadline,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Deadline: AWARDED THREE TIMES ANNUALLY (FALL, WINTER, SPRING)",18
ncaa_postgraduate_scholarship__amount,NCAA Postgraduate Scholarship,field:Amount,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Amount: $10,000 (one-time, non-renewable)",14
ncaa_postgraduate_scholarship__description,NCAA Postgraduate Scholarship,field:Description,"Scholarship: NCAA Postgraduate Scholarship
Provider: NCAA
Level: postgraduate
Field: athletics

Recognizes graduating student-athletes for combined academic and athletic excellence, supporting their transition into graduate study.",25
mastercard_foundation_scholars_program_undergraduate_track__summary,Mastercard Foundation Scholars Program (Undergraduate track),summary,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
A comprehensive scholarship covering tuition, accommodation, books, transport, and a living stipend for academically talented African students who could not otherwise afford university. Delivered through partner institutions such as Arizona State University, McGill, and African universities like KNUST.
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded",73
mastercard_foundation_scholars_program_undergraduate_track__provider_sponsor,Mastercard Foundation Scholars Program (Undergraduate track),field:Provider/Sponsor,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Provider/Sponsor: Mastercard Foundation (via 60+ partner universities)",42
mastercard_foundation_scholars_program_undergraduate_track__level,Mastercard Foundation Scholars Program (Undergraduate track),field:Level,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Level: undergraduate",37
mastercard_foundation_scholars_program_undergraduate_track__field_of_study,Mastercard Foundation Scholars Program (Undergraduate track),field:Field of Study,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Field of Study: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)",54
mastercard_foundation_scholars_program_undergraduate_track__country_region,Mastercard Foundation Scholars Program (Undergraduate track),field:Country/Region,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Country/Region: African citizens (e.g. Cameroon, Ethiopia, Ghana, Kenya, Nigeria, Rwanda, Senegal, South Africa, Tanzania, Uganda, and more, depending on partner)",55
mastercard_foundation_scholars_program_undergraduate_track__funding_type,Mastercard Foundation Scholars Program (Undergraduate track),field:Funding Type,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Funding Type: fully_funded",38
mastercard_foundation_scholars_program_undergraduate_track__need_based,Mastercard Foundation Scholars Program (Undergraduate track),field:Need Based?,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Need Based?: yes",38
mastercard_foundation_scholars_program_undergraduate_track__min_grade_gpa,Mastercard Foundation Scholars Program (Undergraduate track),field:Min Grade/GPA,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Min Grade/GPA: Strong secondary school results; must be economically disadvantaged and demonstrate leadership potential; applicants must be 28 or younger (32 for refugees or persons with disabilities)",62
mastercard_foundation_scholars_program_undergraduate_track__deadline,Mastercard Foundation Scholars Program (Undergraduate track),field:Deadline,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

Deadline: Set individually by each partner university (commonly Nov-Jan window)",45
mastercard_foundation_scholars_program_undergraduate_track__description,Mastercard Foundation Scholars Program (Undergraduate track),field:Description,"Scholarship: Mastercard Foundation Scholars Program (Undergraduate track)
Provider: Mastercard Foundation (via 60+ partner universities)
Level: undergraduate
Field: any (varies by partner institution; engineering and business are common tracks, e.g. at knust, ashesi, cmu-africa)
Funding: fully_funded

A comprehensive scholarship covering tuition, accommodation, books, transport, and a living stipend for academically talented African students who could not otherwise afford university. Delivered through partner institutions such as Arizona State University, McGill, and African universities like KNUST.",73
launchcode_foundations_software_development_programs__summary,LaunchCode Foundations / Software Development Programs,summary,"Scholarship: LaunchCode Foundations / Software Development Programs
A tuition-free technical training pathway combining coding fundamentals, mentorship, and career support for students pivoting into software development.
Provider: LaunchCode
Level: adult_learner
Field: computer_science",31
launchcode_foundations_software_development_programs__provider_sponsor,LaunchCode Foundations / Software Development Programs,field:Provider/Sponsor,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

Provider/Sponsor: LaunchCode",15
launchcode_foundations_software_development_programs__level,LaunchCode Foundations / Software Development Programs,field:Level,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

Level: adult_learner",15
launchcode_foundations_software_development_programs__field_of_study,LaunchCode Foundations / Software Development Programs,field:Field of Study,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

Field of Study: computer_science",17
launchcode_foundations_software_development_programs__min_grade_gpa,LaunchCode Foundations / Software Development Programs,field:Min Grade/GPA,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

Min Grade/GPA: Open to beginners with no prior coding background; no degree requirement.",26
launchcode_foundations_software_development_programs__deadline,LaunchCode Foundations / Software Development Programs,field:Deadline,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

Deadline: Rolling admissions (some cohorts have fixed dates such as June 10, 2026 and August 5, 2026)",30
launchcode_foundations_software_development_programs__description,LaunchCode Foundations / Software Development Programs,field:Description,"Scholarship: LaunchCode Foundations / Software Development Programs
Provider: LaunchCode
Level: adult_learner
Field: computer_science

A tuition-free technical training pathway combining coding fundamentals, mentorship, and career support for students pivoting into software development.",31
blue_ocean_student_entrepreneur_competition__summary,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,summary,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
A campus-backed pitch competition rewarding students who develop and present real business ventures.
Provider: North Carolina State University
Level: undergraduate
Field: business",28
blue_ocean_student_entrepreneur_competition__provider_sponsor,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Provider/Sponsor,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Provider/Sponsor: North Carolina State University",20
blue_ocean_student_entrepreneur_competition__level,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Level,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Level: undergraduate",17
blue_ocean_student_entrepreneur_competition__field_of_study,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Field of Study,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Field of Study: business",19
blue_ocean_student_entrepreneur_competition__min_grade_gpa,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Min Grade/GPA,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Min Grade/GPA: Student teams developing new or existing business ventures.",25
blue_ocean_student_entrepreneur_competition__deadline,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Deadline,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Deadline: FEBRUARY 18, 2026",19
blue_ocean_student_entrepreneur_competition__amount,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Amount,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

Amount: NULL",17
blue_ocean_student_entrepreneur_competition__description,BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION,field:Description,"Scholarship: BLUE OCEAN STUDENT ENTREPRENEUR COMPETITION
Provider: North Carolina State University
Level: undergraduate
Field: business

A campus-backed pitch competition rewarding students who develop and present real business ventures.",28
nshss_student_athlete_scholarship__summary,NSHSS STUDENT ATHLETE SCHOLARSHIP,summary,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Recognizes dedicated student-athletes who are active members of the National Society of High School Scholars.
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics",32
nshss_student_athlete_scholarship__provider_sponsor,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Provider/Sponsor,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Provider/Sponsor: National Society of High School Scholars (NSHSS)",25
nshss_student_athlete_scholarship__level,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Level,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Level: high_school",19
nshss_student_athlete_scholarship__field_of_study,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Field of Study,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Field of Study: athletics",21
nshss_student_athlete_scholarship__deadline,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Deadline,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Deadline: Varies by cycle",21
nshss_student_athlete_scholarship__amount,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Amount,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Amount: N/A",19
nshss_student_athlete_scholarship__description,NSHSS STUDENT ATHLETE SCHOLARSHIP,field:Description,"Scholarship: NSHSS STUDENT ATHLETE SCHOLARSHIP
Provider: National Society of High School Scholars (NSHSS)
Level: high_school
Field: athletics

Recognizes dedicated student-athletes who are active members of the National Society of High School Scholars.",32
women_techmakers_scholars_program__summary,Women Techmakers Scholars Program,summary,"Scholarship: Women Techmakers Scholars Program
Supports women pursuing computer science, computer engineering, or related technical degrees across Africa, Europe, and the Middle East, alongside community-building and mentorship opportunities.
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial",44
women_techmakers_scholars_program__provider_sponsor,Women Techmakers Scholars Program,field:Provider/Sponsor,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Provider/Sponsor: Google",23
women_techmakers_scholars_program__level,Women Techmakers Scholars Program,field:Level,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Level: undergraduate",23
women_techmakers_scholars_program__field_of_study,Women Techmakers Scholars Program,field:Field of Study,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Field of Study: computer science, computer engineering, or closely related technical fields",33
women_techmakers_scholars_program__country_region,Women Techmakers Scholars Program,field:Country/Region,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Country/Region: Africa, Europe, and the Middle East",28
women_techmakers_scholars_program__funding_type,Women Techmakers Scholars Program,field:Funding Type,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Funding Type: partial",24
women_techmakers_scholars_program__need_based,Women Techmakers Scholars Program,field:Need Based?,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Need Based?: no",24
women_techmakers_scholars_program__min_grade_gpa,Women Techmakers Scholars Program,field:Min Grade/GPA,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Min Grade/GPA: Demonstrated passion for and involvement in computer science/technology; open at any study level within undergraduate and graduate study",41
women_techmakers_scholars_program__deadline,Women Techmakers Scholars Program,field:Deadline,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Deadline: Varies by cycle",25
women_techmakers_scholars_program__description,Women Techmakers Scholars Program,field:Description,"Scholarship: Women Techmakers Scholars Program
Provider: Google
Level: undergraduate
Field: computer science, computer engineering, or closely related technical fields
Funding: partial

Supports women pursuing computer science, computer engineering, or related technical degrees across Africa, Europe, and the Middle East, alongside community-building and mentorship opportunities.",44
blacks_microsoft_bam_scholarship__summary,Blacks@Microsoft (BAM) Scholarship,summary,"Scholarship: Blacks@Microsoft (BAM) Scholarship
A need-based award program offering four $20,000, eight $10,000, and fifteen $1,000 scholarships annually to Black students entering tech-related fields.
Provider: Microsoft
Field: computer_science",28
blacks_microsoft_bam_scholarship__provider_sponsor,Blacks@Microsoft (BAM) Scholarship,field:Provider/Sponsor,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

Provider/Sponsor: Microsoft",10
blacks_microsoft_bam_scholarship__field_of_study,Blacks@Microsoft (BAM) Scholarship,field:Field of Study,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

Field of Study: computer_science",12
blacks_microsoft_bam_scholarship__min_grade_gpa,Blacks@Microsoft (BAM) Scholarship,field:Min Grade/GPA,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

Min Grade/GPA: Black high school students planning to major in engineering, computer science, or business. Minimum 3.3 GPA and demonstrated financial hardship required. Requires resume, transcript, and letters of recommendation.",38
blacks_microsoft_bam_scholarship__deadline,Blacks@Microsoft (BAM) Scholarship,field:Deadline,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

Deadline: Varies by cycle",12
blacks_microsoft_bam_scholarship__amount,Blacks@Microsoft (BAM) Scholarship,field:Amount,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

Amount: $1,000 - $20,000 (multiple award tiers)",15
blacks_microsoft_bam_scholarship__description,Blacks@Microsoft (BAM) Scholarship,field:Description,"Scholarship: Blacks@Microsoft (BAM) Scholarship
Provider: Microsoft
Field: computer_science

A need-based award program offering four $20,000, eight $10,000, and fifteen $1,000 scholarships annually to Black students entering tech-related fields.",28
chevening_scholarship__summary,Chevening Scholarship,summary,"Scholarship: Chevening Scholarship
A prestigious UK government scholarship covering full tuition, a monthly living stipend, and travel for a one-year Master's degree. Selection is based on leadership potential, networking ability, and a clear plan for impact, not primarily financial need.
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded",62
chevening_scholarship__provider_sponsor,Chevening Scholarship,field:Provider/Sponsor,"Scholarship: Chevening Scholarship
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded

Provider/Sponsor: UK Foreign, Commonwealth and Development Office (FCDO)",33
chevening_scholarship__level,Chevening Scholarship,field:Level,"Scholarship: Chevening Scholarship
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded

Level: postgraduate",27
chevening_scholarship__field_of_study,Chevening Scholarship,field:Field of Study,"Scholarship: Chevening Scholarship
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded

Field of Study: any (one-year taught master's degree at any uk university)",37
chevening_scholarship__funding_type,Chevening Scholarship,field:Funding Type,"Scholarship: Chevening Scholarship
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded

Funding Type: fully_funded",28
chevening_scholarship__need_based,Chevening Scholarship,field:Need Based?,"Scholarship: Chevening Scholarship
Provider: UK Foreign, Commonwealth and Development Office (FCDO)
Level: postgraduate
Field: any (one-year taught master's degree at any uk university)
Funding: fully_funded

Need Based?: no",28
